campaign_id,budget,audience_type,creative_type,channel,impressions,clicks,ctr,cpc,conversions,cpl,revenue,roas
C001,5000,lookalike,video,facebook,150000,4500,3.0,1.11,180,27.78,9000,1.80
C002,3000,interest,image,instagram,80000,2000,2.5,1.50,75,40.00,3750,1.25
C003,8000,retargeting,carousel,facebook,200000,8000,4.0,1.00,400,20.00,24000,3.00
C004,2500,broad,video,tiktok,120000,3600,3.0,0.69,90,27.78,4500,1.80
C005,10000,lookalike,image,google,300000,6000,2.0,1.67,240,41.67,14400,1.44
C006,4500,retargeting,video,facebook,180000,7200,4.0,0.63,360,12.50,21600,4.80
C007,6000,interest,carousel,instagram,150000,4500,3.0,1.33,135,44.44,6750,1.13
C008,7500,lookalike,video,youtube,250000,5000,2.0,1.50,200,37.50,12000,1.60
C009,3500,broad,image,facebook,100000,2500,2.5,1.40,100,35.00,5000,1.43
C010,12000,retargeting,carousel,google,350000,10500,3.0,1.14,525,22.86,36750,3.06
C011,5500,interest,video,tiktok,180000,5400,3.0,1.02,162,33.95,8100,1.47
C012,4000,lookalike,image,instagram,120000,3000,2.5,1.33,90,44.44,4500,1.13
C013,9000,retargeting,video,facebook,280000,11200,4.0,0.80,560,16.07,39200,4.36
C014,2000,broad,carousel,tiktok,60000,1500,2.5,1.33,45,44.44,2250,1.13
C015,15000,lookalike,video,google,450000,9000,2.0,1.67,360,41.67,25200,1.68
C016,6500,interest,image,facebook,200000,5000,2.5,1.30,150,43.33,7500,1.15
C017,8500,retargeting,carousel,instagram,250000,10000,4.0,0.85,500,17.00,35000,4.12
C018,3800,lookalike,video,youtube,140000,2800,2.0,1.36,84,45.24,5040,1.33
C019,11000,interest,image,google,320000,6400,2.0,1.72,192,57.29,11520,1.05
C020,7000,retargeting,video,facebook,220000,8800,4.0,0.80,440,15.91,30800,4.40
C021,4200,broad,carousel,instagram,130000,3250,2.5,1.29,97,43.30,4850,1.15
C022,5800,lookalike,image,tiktok,170000,5100,3.0,1.14,153,37.91,7650,1.32
C023,9500,retargeting,video,youtube,300000,12000,4.0,0.79,600,15.83,42000,4.42
C024,2800,interest,carousel,facebook,85000,2125,2.5,1.32,64,43.75,3200,1.14
C025,13000,lookalike,video,google,400000,8000,2.0,1.63,320,40.63,22400,1.72
C026,6200,broad,image,instagram,190000,4750,2.5,1.31,142,43.66,7100,1.15
C027,8200,retargeting,carousel,tiktok,260000,10400,4.0,0.79,520,15.77,36400,4.44
C028,3200,interest,video,facebook,100000,3000,3.0,1.07,90,35.56,4500,1.41
C029,14500,lookalike,image,youtube,420000,8400,2.0,1.73,252,57.54,15120,1.04
C030,7800,retargeting,video,google,240000,9600,4.0,0.81,480,16.25,33600,4.31
C031,4800,broad,carousel,facebook,145000,3625,2.5,1.32,109,44.04,5450,1.14
C032,10500,interest,video,instagram,310000,9300,3.0,1.13,279,37.63,13950,1.33
C033,5200,lookalike,image,tiktok,160000,4800,3.0,1.08,144,36.11,7200,1.38
C034,9200,retargeting,carousel,youtube,280000,11200,4.0,0.82,560,16.43,39200,4.26
C035,3600,broad,video,google,110000,2200,2.0,1.64,66,54.55,3960,1.10
C036,11500,lookalike,carousel,facebook,340000,10200,3.0,1.13,306,37.58,15300,1.33
C037,6800,interest,image,instagram,210000,5250,2.5,1.30,158,43.04,7900,1.16
C038,8800,retargeting,video,tiktok,270000,10800,4.0,0.81,540,16.30,37800,4.30
C039,4400,lookalike,carousel,google,135000,2700,2.0,1.63,81,54.32,4860,1.10
C040,12500,retargeting,image,facebook,380000,15200,4.0,0.82,760,16.45,53200,4.26
C041,5600,broad,video,youtube,175000,3500,2.0,1.60,105,53.33,6300,1.13
C042,7200,interest,carousel,tiktok,220000,6600,3.0,1.09,198,36.36,9900,1.38
C043,9800,lookalike,image,instagram,290000,7250,2.5,1.35,217,45.16,10850,1.11
C044,6400,retargeting,video,google,200000,8000,4.0,0.80,400,16.00,28000,4.38
C045,3400,broad,carousel,facebook,105000,2625,2.5,1.30,79,43.04,3950,1.16
C046,13500,interest,video,youtube,390000,11700,3.0,1.15,351,38.46,17550,1.30
C047,5000,lookalike,image,tiktok,155000,4650,3.0,1.08,139,35.97,6950,1.39
C048,10000,retargeting,carousel,instagram,300000,12000,4.0,0.83,600,16.67,42000,4.20
C049,4000,broad,video,google,125000,2500,2.0,1.60,75,53.33,4500,1.13
C050,14000,lookalike,carousel,facebook,410000,12300,3.0,1.14,369,37.94,18450,1.32
